phone name,phone price
"REDMI 10 Prime 2022 (Bifrost Blue, 64 GB)","₹12,689"
"REDMI 11 Prime (Flashy Black, 64 GB)","₹11,835"
"REDMI A1+ (Black, 32 GB)","₹8,499"
"REDMI Note 9 (Scarlet Red, 128 GB)","₹13,499"
"REDMI Note 10S (Frost White, 128 GB)","₹16,499"
"REDMI 9 Power (Mighty Black, 64 GB)","₹12,990"
"REDMI Note 9 (Arctic White, 128 GB)","₹13,990"
"REDMI Note 10S (Cosmic Purple, 128 GB)","₹16,499"
"REDMI 10A (Sea Blue, 32 GB)","₹9,999"
"REDMI Note 10S (Deep Sea Blue, 128 GB)","₹16,499"
"REDMI K50i 5G (Stealth Black, 256 GB)","₹28,990"
"REDMI 10 Prime 2022 (Bifrost Blue, 64 GB)","₹12,999"
"REDMI 8A Dual (Sky White, 32 GB)","₹7,499"
"REDMI K50i (Quick Silver, 128 GB)","₹25,199"
"REDMI K50i 5G (Phantom Blue, 128 GB)","₹25,989"
"REDMI 9 Power (Electric Green, 128 GB)","₹13,990"
"REDMI 9 Power (Fiery Red, 128 GB)","₹16,849"
"REDMI 10A SPORT (CHARCOAL BLACK, 128 GB)","₹10,228"
"REDMI Note 8 Pro (Shadow Black, 64 GB)","₹16,999"
"REDMI Note 9 (Aqua Green, 128 GB)","₹14,599"
"REDMI Note 11S (Space Black, 128 GB)","₹15,999"
"REDMI 10A (Slate Grey, 32 GB)","₹7,999"
"REDMI Note 10S (Shadow Black, 64 GB)","₹13,690"
"REDMI Note 10 (Aqua Green, 64 GB)","₹14,050"
